category,agency,title,description,time
اخبار ارزی,ایران اکونومیست,اتباع خارجی با سرمایه گذاری ۱۰۰ دلاری اقامت ۵ ساله می‌گیرند,هیات دولت،  وزارت کشور را موظف کرد حداکثر ظرف یک ماه برای اتباع خارجی که حداقل معادل یکصد هزار دلار به ارزهای دیگر سپرده­ گذاری بلندمدت یا به همان میزان در ایران سرمایه گذاری کنند، پس از تأیید و اعلام وزارت امور اقتصادی و دارایی مجوز اقامت ۵ ساله صادر کند.,2022-10-30 20:51:29
اخبار ارزی,اقتصاد نیوز,نوسان محدود قیمت دلار/ سکه یکه تازی کرد,اقتصادنیوز : تحلیلگران ارزی باور دارند نوسان محدود دلار تهران را ناشی از چند دلیل می دانستند. عرضه سنگین بازار ساز موجب شده بازیگران در خرید های خود احتیاط کنند و بی گدار به آب نزنند . از سوی آرامش بازار های همسایه موجب شده بود سیگنال صعود و نزول خاصی به تهران مخابره نشود.,2022-10-30 20:41:41
اخبار ارزی,دیجی کالا مگ,مشخصات فورد سوپر دیوتی ۲۰۲۳ فاش شد,,2022-10-30 19:26:04
اخبار ارزی,ایران اکونومیست,رشد ۴.۲ درصدی بخش کشاورزی چین در ۹ ماهه نخست ۲۰۲۲,وزارت کشاورزی و امور روستایی چین اعلام کرد که ارزش افزوده بخش کشاورزی این کشور در سه فصل نخست سال جاری میلادی با ۴.۲ رشد به ۵.۴۸ تریلیون یوان (۷۵۵ میلیارد دلار) رسیده و زمینه را برای رفاه و توسعه پایدار اقتصادی چین فراهم کرده است.,2022-10-30 18:51:31
اخبار ارزی,راه پرداخت,نئوبانکداری؛‏‏ فرصتی راهبردی برای توسعه فناوری‌های مالی کشاورزی (AgFi) در ایران,,2022-10-30 18:06:30
اخبار ارزی,ایران اکونومیست,افزایش ۲۵ درصد صادرات غیرنفتی در مهرماه,سخنگوی وزارت صنعت، معدن و تجارت از افزایش ۲۵ درصد صادرات غیرنفتی در مهرماه نسبت به شهریورماه سال جاری خبر داد و اعلام کرد: حجم تجارت خارجی در هفت ماهه از ۶۰ میلیارد دلار گذشت.,2022-10-30 17:46:17
اخبار ارزی,ایرنا,افزایش ۲۵ درصد صادرات غیرنفتی در مهرماه/ تجارت خارجی از ۶۰ میلیارد دلار گذشت,تهران- ایرنا- سخنگوی وزارت صنعت، معدن و تجارت از افزایش ۲۵ درصد صادرات غیرنفتی در مهرماه نسبت به شهریورماه سال جاری خبر داد و اعلام کرد: حجم تجارت خارجی در هفت ماهه از ۶۰ میلیارد دلار گذشت.,2022-10-30 17:11:30
اخبار ارزی,ایران اکونومیست,گیشه پایان هفته هالووین؛ پیشتازی «بلک آدام» با بیش از ۲۵ میلیون دلار,«بلک آدام» به کارگردانی ژاومه کویت -سرا بر اساس درآمدهای روز جمعه پیش‌بینی می‌شود که در دومین هفته هالووین فروش حدود ۲۵.۵ میلیون دلاری داشته باشد که ۶۳ درصد نسبت به هفته ماقبل آن کاهش دارد.,2022-10-30 16:47:21
اخبار ارزی,فارس,شرکت آمریکایی قیمت نفت برای سال آینده را چند دلار پیش‌بینی کرد,مدیرعامل شرکت بزرگ نفتی پایونیر آمریکا پیش‌‌بینی کرد که در اواسط سال آینده و همزمان با لغو محدودیت‌های کرونایی در چین، قیمت نفت به 120 دلار باز خواهد گشت.,2022-10-30 16:47:17
اخبار ارزی,دیجی کالا مگ,با این گجت هر دوچرخه‌ای را به دوچرخه برقی تبدیل کنید,,2022-10-30 15:51:26
اخبار ارزی,عصر ایران,هشدار اتاق بازرگانی در مورد کمبود گاز,نائب رئیس کمیسیون انرژی اتاق بازرگانی ایران با تاکید بر اینکه بر اساس گفته‌های وزیر نفت، برای سرمایه‌گذاری در بخش گاز نیاز به ۷۰ میلیارد دلار منابع است، بیان داشت: قدر مسلم این کار باید از طریق سرمایه گذاری خارجی انجام شود، زیرا توانایی این سرمایه‌گذاری در داخل با این مبلغ وجود ندارد، اما با توجه به تشدید تحریم‌ها و وضعیت مبهم برجام انجام چنین سرمایه‌گذاری ممکن نخواهد بود با توجه به شرایطی که وجود دارد.,2022-10-30 15:12:38
اخبار ارزی,سایت طلا,شرط تمام شدن مشکلات بازار ارزی ایران,رئیس اتاق بازرگانی تهران معتقد است آنچه که در رابطه با ارز ۴۲۰۰ تومانی اتفاق افتاد، می‌توانست چند سال زودتر نهایی شود اما هنوز کار در این زمینه به پایان نرسیده است.,2022-10-30 14:01:57
اخبار ارزی,همشهری آنلاین,دلار در معاملات امروز چقدر قیمت خورد؟ | جدیدترین تغییرات قیمتی دلار و یورو؛ ۸ آبان ۱۴۰۱,قیمت فروش دلار امروز در صرافی‌های بانکی ۲۸ هزار و ۹۶۴ تومان اعلام شد. دلار توافقی نیز در قیمت ۳۱ هزار و ۴۸۹تومان معامله شد.,2022-10-30 14:01:55
