saal,ostan,_sum,man,woman
1400,آذربايجان شرقي,11890,6130,5760
1400,آذربايجان غربي,13226,6878,6348
1400,اردبيل,3913,2109,1804
1400,اصفهان,14216,7321,6895
1400,البرز,6083,3157,2926
1400,ايلام,1898,1032,866
1400,بوشهر,3545,1892,1653
1400,تهران,35262,18361,16901
1400,چهارمحال وبختياري,3551,1885,1666
1400,خراسان جنوبي,3632,1876,1756
1400,خراسان رضوي,25821,13399,12422
1400,خراسان شمالي,3368,1713,1655
1400,خوزستان,22115,11244,10871
1400,زنجان,3573,1805,1768
1400,سمنان,1885,937,948
1400,سيستان وبلوچستان,20719,10637,10082
1400,فارس,14575,7559,7016
1400,قزوين,3610,1864,1746
1400,قم,4679,2318,2361
1400,كردستان,5833,3052,2781
1400,كرمان,11258,5797,5461
1400,كرمانشاه,6290,3362,2928
1400,كهگيلويه وبويراحمد,2524,1330,1194
1400,گلستان,7755,3967,3788
1400,گيلان,5235,2685,2550
1400,لرستان,6153,3218,2935
1400,مازندران,7196,3622,3574
1400,مركزي,3410,1738,1672
1400,هرمزگان,8064,4062,4002
1400,همدان,5657,2970,2687
1400,يزد,4552,2372,2180
