transaction_id,product_id,customer_id,transaction_date,online_order,product_size
1,2,2950,2017-02-25,0,medium
2,3,3120,2017-05-21,1,large
3,37,402,2017-10-16,0,medium
4,88,3135,2017-08-31,0,medium
5,78,787,2017-10-01,1,large
6,25,2339,2017-03-08,1,medium
7,22,1542,2017-04-21,1,medium
8,15,2459,2017-07-15,0,medium
9,67,1305,2017-08-10,0,large
10,12,3262,2017-08-30,1,medium
11,5,1986,2017-01-17,0,medium
12,61,2783,2017-01-05,1,medium
13,35,1243,2017-02-26,1,medium
14,16,2717,2017-09-10,0,small
15,12,247,2017-06-11,0,large
16,3,2961,2017-10-10,0,large
17,79,2426,2017-04-03,0,medium
18,33,1842,2017-06-02,0,small
19,54,2268,2017-04-06,1,medium
20,25,3002,2017-01-28,1,medium
21,27,1582,2017-10-09,0,medium
22,37,595,2017-06-29,1,medium
23,37,2001,2017-04-08,1,medium
24,82,515,2017-10-18,0,medium
25,89,2822,2017-06-11,0,large
26,64,2596,2017-01-10,0,large
27,64,2666,2017-04-11,1,large
28,19,76,2017-12-23,0,medium
29,72,3368,2017-10-13,1,medium
30,91,1173,2017-03-15,0,medium
31,88,2810,2017-09-05,1,medium
32,1,3214,2017-02-18,0,medium
33,25,1272,2017-03-20,0,medium
34,99,2003,2017-02-28,1,small
35,0,2171,2017-08-20,0,medium
36,92,3356,2017-07-07,0,small
37,14,1040,2017-01-09,0,large
38,2,2916,2017-12-06,0,medium
39,12,427,2017-09-12,0,medium
40,0,2448,2017-11-28,1,medium
41,44,2570,2017-05-08,1,medium
42,79,3398,2017-05-14,0,large
43,76,488,2017-03-17,0,medium
44,46,165,2017-12-22,0,medium
45,55,2787,2017-06-07,1,large
46,66,3053,2017-06-20,0,medium
47,35,475,2017-05-07,1,medium
48,81,1305,2017-06-10,1,medium
49,86,1251,2017-06-17,0,medium
50,32,3103,2017-05-10,0,medium
51,77,3108,2017-03-24,0,large
52,96,857,2017-11-27,0,large
53,6,3455,2017-12-21,1,medium
54,27,2549,2017-02-09,1,medium
55,0,3140,2017-09-18,0,medium
56,47,3406,2017-11-14,0,small
57,94,2294,2017-08-30,1,large
58,91,1031,2017-11-14,0,medium
59,93,993,2017-02-15,1,medium
60,60,3473,2017-12-18,0,small
61,0,1839,2017-02-24,0,large
62,33,1824,2017-12-18,1,small
63,35,368,2017-12-17,0,medium
64,0,2000,2017-07-08,0,medium
65,28,825,2017-05-16,1,small
66,86,3315,2017-02-23,1,medium
67,2,75,2017-07-03,1,medium
68,4,1498,2017-09-30,1,medium
69,38,1612,2017-10-21,1,large
70,27,2192,2017-05-06,1,medium
71,54,419,2017-01-03,0,medium
72,77,3307,2017-05-09,1,medium
73,22,2430,2017-07-23,0,medium
74,56,1506,2017-01-21,1,medium
75,58,1346,2017-06-20,0,medium
76,22,927,2017-03-10,0,medium
77,50,763,2017-06-02,0,small
78,80,2397,2017-11-07,0,medium
79,87,102,2017-09-12,1,medium
80,15,2884,2017-12-16,0,medium
81,84,759,2017-10-07,1,medium
82,21,773,2017-04-27,1,large
83,0,3398,2017-04-01,1,medium
84,33,3297,2017-11-02,1,small
85,84,2434,2017-02-13,1,medium
86,1,1861,2017-07-19,0,medium
87,27,1233,2017-05-23,0,medium
88,31,1390,2017-08-06,0,medium
89,0,2682,2017-04-04,1,large
90,62,439,2017-08-15,1,medium
91,17,1579,2017-04-15,1,medium
92,73,2984,2017-07-25,1,medium
93,33,3470,2017-11-28,1,small
94,86,1,2017-12-23,0,medium
95,45,757,2017-02-26,0,medium
96,1,1778,2017-02-21,0,medium
97,80,211,2017-05-31,1,medium
98,49,333,2017-06-23,,medium
99,95,32,2017-03-26,0,large
100,0,119,2017-07-31,0,medium
101,18,2347,2017-07-27,0,medium
102,4,2353,2017-04-14,0,medium
103,33,788,2017-11-12,0,small
104,78,1468,2017-09-12,0,large
105,89,821,2017-10-26,0,large
106,70,2489,2017-02-15,0,medium
107,79,2710,2017-12-22,0,medium
108,26,947,2017-10-11,1,medium
109,39,1335,2017-03-27,1,large
110,36,1076,2017-11-04,0,medium
111,0,3320,2017-06-11,1,medium
112,84,779,2017-10-09,0,medium
113,98,3296,2017-06-07,1,medium
114,75,455,2017-10-24,1,large
115,76,1779,2017-05-01,0,medium
116,72,2703,2017-11-21,1,medium
117,42,806,2017-03-24,0,small
118,20,22,2017-03-21,0,small
119,64,1591,2017-02-20,0,large
120,0,678,2017-06-16,0,medium
121,25,50,2017-12-04,0,medium
122,24,1038,2017-12-01,1,large
123,31,1453,2017-03-05,1,medium
124,98,1339,2017-03-21,0,medium
125,22,3382,2017-01-03,1,medium
126,53,773,2017-04-01,0,medium
127,84,2503,2017-03-16,1,medium
128,25,1057,2017-02-26,0,medium
129,50,1397,2017-06-05,0,small
130,44,2134,2017-09-04,0,medium
131,96,2403,2017-01-18,1,small
132,12,1937,2017-09-28,0,medium
133,93,1282,2017-09-02,1,medium
134,78,2183,2017-05-09,0,large
135,84,1788,2017-10-17,0,medium
136,65,1170,2017-04-25,1,medium
137,0,431,2017-09-23,0,
138,29,1940,2017-08-02,0,medium
139,32,2073,2017-03-25,0,medium
140,11,462,2017-01-01,0,medium
141,10,2728,2017-12-22,0,medium
142,46,2053,2017-12-25,0,medium
143,60,2135,2017-01-26,1,small
144,92,1217,2017-12-20,0,large
145,7,2992,2017-06-07,1,medium
146,41,3261,2017-04-06,1,medium
147,67,2748,2017-04-25,1,medium
148,14,3262,2017-01-13,0,small
149,89,788,2017-03-21,0,large
150,9,3067,2017-11-21,1,medium
151,31,701,2017-11-11,0,medium
152,92,648,2017-10-16,0,small
153,37,3286,2017-08-19,1,medium
154,3,3383,2017-04-06,1,large
155,56,982,2017-11-04,1,small
156,14,676,2017-08-22,1,large
157,6,385,2017-09-15,1,medium
158,50,1229,2017-03-01,1,small
159,10,3232,2017-08-16,0,medium
160,0,3300,2017-08-27,0,
161,69,2381,2017-07-10,0,medium
162,78,371,2017-12-11,0,large
163,80,2519,2017-05-20,1,medium
164,17,2264,2017-07-30,0,medium
165,3,2637,2017-10-25,1,large
166,78,3262,2017-11-27,0,large
167,90,3177,2017-04-26,,medium
168,87,2267,2017-02-02,0,medium
169,97,456,2017-05-02,0,large
170,6,404,2017-10-16,,medium
171,100,3121,2017-10-22,0,medium
172,55,2365,2017-04-11,1,large
173,100,2528,2017-11-16,0,medium
174,10,3151,2017-12-17,0,medium
175,25,3241,2017-12-23,0,medium
176,74,1335,2017-03-30,1,medium
177,90,2234,2017-04-13,0,medium
178,56,3226,2017-07-25,1,medium
179,62,1365,2017-01-31,0,medium
180,20,3349,2017-03-18,1,small
181,17,1002,2017-02-24,0,medium
182,16,2282,2017-02-18,0,small
183,46,2656,2017-01-07,0,medium
184,71,2409,2017-07-05,1,large
185,91,1711,2017-11-19,0,medium
186,17,2582,2017-11-08,1,medium
187,1,1005,2017-07-24,1,large
188,3,1597,2017-01-15,1,large
189,56,2713,2017-01-12,1,medium
190,37,1435,2017-11-27,1,medium
191,34,1477,2017-06-30,1,large
192,0,1614,2017-07-15,1,medium
193,12,1254,2017-06-22,1,medium
194,25,1423,2017-05-02,0,medium
195,81,276,2017-12-27,0,small
196,19,1315,2017-12-21,1,large
197,45,591,2017-05-23,1,medium
198,74,1017,2017-02-02,0,medium
199,33,2123,2017-06-08,0,small
200,57,2889,2017-04-15,1,large
201,0,3208,2017-09-05,1,medium
202,23,2406,2017-02-26,1,small
203,67,2041,2017-07-29,0,medium
204,81,1598,2017-07-03,1,small
205,58,1842,2017-05-27,1,medium
206,5,141,2017-05-05,0,medium
207,94,1321,2017-09-09,0,large
208,51,183,2017-05-21,0,medium
209,59,2591,2017-09-22,0,small
210,63,3356,2017-04-12,1,medium
211,40,766,2017-05-07,1,medium
212,80,1596,2017-01-13,0,large
213,82,520,2017-12-14,0,medium
214,46,868,2017-03-22,1,medium
215,78,2999,2017-09-30,0,large
216,72,352,2017-11-29,1,medium
217,75,1140,2017-06-09,0,large
218,40,621,2017-04-21,0,large
219,2,3307,2017-11-13,0,small
220,10,1502,2017-04-09,1,medium
221,35,936,2017-05-08,0,medium
222,8,939,2017-07-08,1,small
223,2,2698,2017-11-30,0,small
224,69,579,2017-04-25,1,medium
225,54,2036,2017-03-30,1,medium
226,8,3077,2017-03-10,0,small
227,86,369,2017-03-16,1,medium
228,13,821,2017-04-04,1,medium
229,19,2687,2017-03-13,1,medium
230,86,681,2017-12-23,1,medium
231,46,37,2017-08-12,1,medium
232,30,3002,2017-08-04,0,medium
233,92,396,2017-09-01,0,large
234,71,550,2017-09-01,1,large
235,77,1605,2017-07-02,0,large
236,7,2325,2017-08-31,1,small
237,23,1420,2017-03-11,1,small
238,12,3099,2017-10-08,0,medium
239,61,1645,2017-10-01,1,medium
240,21,546,2017-11-23,0,large
241,86,2885,2017-03-27,1,medium
242,57,2740,2017-12-04,0,large
243,63,3166,2017-11-13,1,medium
244,63,3487,2017-12-20,1,medium
245,33,2890,2017-09-22,1,small
246,98,3370,2017-01-22,0,medium
247,15,3393,2017-01-29,1,medium
248,57,2410,2017-07-21,0,large
249,61,3466,2017-02-10,1,medium
250,48,1454,2017-11-25,0,medium
251,63,1967,2017-04-11,,medium
252,78,3089,2017-12-03,0,large
253,2,3123,2017-12-30,0,small
254,67,2692,2017-07-26,0,large
255,67,2801,2017-04-01,1,medium
256,13,1580,2017-10-22,1,medium
257,65,352,2017-03-22,0,medium
258,49,1777,2017-06-15,1,medium
259,87,142,2017-07-06,1,medium
260,31,3393,2017-12-28,0,medium
261,17,599,2017-05-09,0,medium
262,91,1258,2017-01-18,0,medium
263,53,3405,2017-10-22,1,medium
264,38,3198,2017-01-30,0,medium
265,20,834,2017-06-26,0,small
266,44,3467,2017-11-07,1,medium
267,69,3436,2017-08-13,1,medium
268,68,1516,2017-08-27,0,medium
269,11,2833,2017-01-25,1,medium
270,2,2362,2017-02-13,0,medium
271,27,2337,2017-07-11,0,medium
272,0,2149,2017-04-30,1,medium
273,81,2133,2017-05-19,0,medium
274,6,360,2017-05-26,1,medium
275,76,2969,2017-02-03,1,medium
276,18,1720,2017-04-28,0,medium
277,18,2904,2017-03-23,0,medium
278,9,754,2017-06-03,0,medium
279,35,1826,2017-04-25,0,medium
280,93,2487,2017-04-08,0,medium
281,40,2815,2017-02-18,0,medium
282,1,541,2017-05-04,0,medium
283,16,302,2017-03-29,0,small
284,44,2024,2017-10-03,1,medium
285,48,142,2017-07-27,1,medium
286,56,768,2017-08-07,1,medium
287,36,2147,2017-02-07,1,medium
288,36,529,2017-11-20,1,medium
289,13,825,2017-02-23,0,medium
290,55,624,2017-04-05,1,large
291,38,2302,2017-11-07,0,medium
292,64,3380,2017-10-28,0,small
293,0,314,2017-11-19,0,medium
294,79,1079,2017-08-25,1,medium
295,11,1643,2017-01-20,1,medium
296,91,1524,2017-03-14,1,medium
297,18,3205,2017-04-14,1,medium
298,17,2860,2017-11-20,1,medium
299,13,772,2017-05-24,0,medium
300,4,323,2017-03-25,1,medium
301,78,2530,2017-03-24,,large
302,42,2426,2017-03-17,1,small
303,48,1883,2017-11-18,0,medium
304,12,2745,2017-04-07,0,medium
305,77,2819,2017-01-04,0,large
306,25,792,2017-12-13,0,medium
307,35,923,2017-04-20,0,medium
308,7,3353,2017-07-21,0,medium
309,68,3394,2017-11-27,0,medium
310,75,3213,2017-10-21,0,large
311,77,3260,2017-03-07,0,medium
312,1,1015,2017-12-04,0,medium
313,81,2266,2017-01-25,0,medium
314,6,58,2017-08-20,1,medium
315,40,3118,2017-12-18,1,large
316,62,1414,2017-08-01,0,medium
317,90,2202,2017-06-19,1,medium
318,32,2144,2017-05-31,1,medium
319,65,1033,2017-10-09,1,medium
320,15,2157,2017-06-20,1,medium
321,36,1097,2017-01-23,0,medium
322,12,2757,2017-04-19,0,medium
323,67,87,2017-11-08,1,medium
324,87,2049,2017-10-11,0,medium
325,62,952,2017-11-14,1,medium
326,55,1745,2017-01-20,0,large
327,1,40,2017-05-09,1,medium
328,98,372,2017-10-17,1,medium
329,79,1627,2017-08-11,1,medium
330,1,444,2017-11-15,0,medium
331,61,217,2017-05-23,0,small
332,71,1656,2017-08-02,1,large
333,58,485,2017-12-16,1,medium
334,86,2252,2017-02-21,0,large
335,95,3103,2017-11-01,0,large
336,55,506,2017-10-05,1,large
337,82,1615,2017-10-30,,medium
338,32,1881,2017-01-02,1,medium
339,65,2903,2017-12-04,1,medium
340,49,1274,2017-12-16,0,medium
341,1,1443,2017-08-27,0,medium
342,24,2091,2017-03-14,0,large
343,61,1478,2017-03-11,,small
344,7,1493,2017-07-09,0,small
345,84,1614,2017-03-21,0,medium
346,48,476,2017-07-19,0,medium
347,16,1777,2017-04-12,1,small
348,40,940,2017-08-11,0,medium
349,100,2930,2017-10-20,1,medium
350,27,2354,2017-10-26,1,medium
351,59,1582,2017-06-15,0,large
352,34,416,2017-06-19,0,large
353,18,1013,2017-04-20,1,medium
354,83,533,2017-11-14,0,large
355,82,968,2017-03-22,1,medium
356,88,727,2017-07-09,1,medium
357,77,1160,2017-04-13,0,large
358,6,3425,2017-12-06,1,medium
359,10,1614,2017-11-10,1,medium
360,69,2140,2017-04-26,1,large
361,15,2589,2017-01-31,0,medium
362,7,2920,2017-09-22,1,medium
363,73,62,2017-08-14,1,medium
364,32,1112,2017-09-13,0,medium
365,39,1995,2017-05-03,1,large
366,28,1965,2017-08-22,0,small
367,0,1614,2017-03-10,0,
368,25,366,2017-01-24,1,medium
369,32,2682,2017-07-29,0,medium
370,78,2993,2017-08-03,1,large
371,44,1887,2017-08-28,0,medium
372,56,1692,2017-08-16,1,medium
373,1,1927,2017-06-24,0,medium
374,15,2567,2017-03-07,0,medium
375,17,3276,2017-07-05,1,large
376,0,1808,2017-02-09,0,medium
377,7,2368,2017-10-17,0,medium
378,53,470,2017-10-27,0,medium
379,20,3270,2017-03-03,0,small
380,3,1683,2017-08-20,1,large
381,14,880,2017-09-18,1,large
382,83,309,2017-12-02,1,large
383,39,1698,2017-11-28,1,large
384,67,1434,2017-08-28,0,large
385,40,2712,2017-05-14,0,large
386,13,892,2017-10-01,0,medium
387,100,832,2017-10-15,1,medium
388,35,1033,2017-05-03,1,medium
389,17,2834,2017-02-15,1,medium
390,79,3015,2017-01-04,0,medium
391,86,3484,2017-10-12,0,large
392,9,2775,2017-03-19,0,medium
393,58,1208,2017-08-30,1,medium
394,58,2109,2017-06-29,0,medium
395,43,3195,2017-10-12,1,medium
396,88,3366,2017-06-27,1,medium
397,15,2492,2017-02-27,0,medium
398,6,389,2017-03-12,1,medium
399,83,1306,2017-12-18,,large
400,0,552,2017-07-24,1,medium
401,82,3009,2017-05-05,0,medium
402,88,2925,2017-06-14,0,medium
403,14,140,2017-02-17,0,small
404,67,209,2017-09-14,1,medium
405,76,225,2017-06-19,0,medium
406,0,1595,2017-04-17,0,medium
407,0,2559,2017-06-14,1,
408,18,769,2017-12-11,0,medium
409,23,1282,2017-05-08,0,small
410,82,2377,2017-03-07,0,medium
411,62,3355,2017-12-30,0,medium
412,20,2350,2017-05-11,1,small
413,60,720,2017-09-09,0,small
414,65,3249,2017-02-02,1,medium
415,76,2939,2017-10-01,1,medium
416,17,1035,2017-11-03,1,medium
417,73,492,2017-10-02,0,medium
418,39,3100,2017-12-10,1,large
419,34,1586,2017-04-19,0,medium
420,97,31,2017-05-25,1,medium
421,9,887,2017-04-28,0,small
422,11,3356,2017-08-26,0,medium
423,82,2498,2017-09-15,1,medium
424,96,3415,2017-03-03,1,large
425,28,2828,2017-09-06,0,small
426,39,3117,2017-04-24,1,large
427,70,2850,2017-11-19,0,medium
428,62,2779,2017-11-30,1,medium
429,84,683,2017-12-15,0,medium
430,21,2342,2017-10-26,0,large
431,7,3388,2017-02-12,0,medium
432,79,1968,2017-06-19,1,medium
433,39,2923,2017-12-17,1,large
434,67,15,2017-03-10,0,medium
435,4,2659,2017-07-22,1,medium
436,96,3417,2017-09-26,1,small
437,13,1862,2017-08-27,1,medium
438,76,1670,2017-04-17,0,medium
439,33,2126,2017-12-05,1,small
440,54,2702,2017-10-20,1,medium
441,93,125,2017-02-25,1,medium
442,63,750,2017-04-24,1,medium
443,52,359,2017-01-25,0,medium
444,33,2820,2017-09-10,0,small
445,65,850,2017-11-25,1,medium
446,50,3072,2017-05-23,0,small
447,0,820,2017-06-23,0,medium
448,4,919,2017-09-28,1,medium
449,26,1250,2017-03-31,0,medium
450,5,1655,2017-05-01,0,medium
451,29,1194,2017-12-02,1,medium
452,80,234,2017-03-20,0,large
453,9,724,2017-11-22,0,medium
454,9,1976,2017-05-03,0,medium
455,24,193,2017-08-16,1,large
456,84,1588,2017-01-30,1,medium
457,100,290,2017-10-10,0,medium
458,7,167,2017-03-25,0,small
459,51,2821,2017-04-29,1,medium
460,21,1201,2017-08-07,0,large
461,46,893,2017-07-09,0,medium
462,62,2794,2017-09-05,1,medium
463,96,3166,2017-07-14,1,small
464,81,1422,2017-10-13,0,small
465,31,3476,2017-04-17,0,medium
466,13,505,2017-06-24,1,medium
467,59,1132,2017-10-15,0,large
468,53,2363,2017-11-02,1,medium
469,12,1816,2017-10-11,0,medium
470,18,73,2017-04-30,0,medium
471,18,647,2017-01-21,1,medium
472,2,1304,2017-02-09,1,small
473,25,344,2017-11-11,0,medium
474,18,1001,2017-10-07,1,medium
475,16,2724,2017-08-10,0,small
476,21,1787,2017-08-19,1,medium
477,73,367,2017-02-12,,medium
478,98,524,2017-01-18,1,medium
479,69,479,2017-09-08,1,medium
480,52,1782,2017-04-17,1,medium
481,16,361,2017-03-15,1,small
482,17,1135,2017-04-22,0,medium
483,59,1591,2017-02-15,1,large
484,3,941,2017-05-04,1,large
485,87,804,2017-03-17,0,medium
486,25,2729,2017-07-24,1,medium
487,27,223,2017-02-15,1,medium
488,10,1571,2017-09-09,1,medium
489,82,2747,2017-01-25,0,medium
490,11,506,2017-04-12,1,medium
491,32,2676,2017-12-10,1,medium
492,90,547,2017-01-11,1,medium
493,44,2623,2017-12-03,1,medium
494,92,1509,2017-11-16,1,large
495,21,479,2017-08-09,1,large
496,0,661,2017-11-08,0,medium
497,62,1854,2017-12-30,1,medium
498,72,125,2017-05-29,0,medium
499,22,1037,2017-07-19,0,medium
500,79,1446,2017-02-02,1,medium
501,28,2810,2017-07-25,1,small
502,77,500,2017-06-13,1,large
503,87,2468,2017-08-07,1,medium
504,5,1785,2017-03-10,0,medium
505,66,2560,2017-07-09,0,small
506,66,1853,2017-12-04,0,small
507,71,3468,2017-09-02,1,large
508,91,3389,2017-03-24,0,medium
509,17,3015,2017-07-28,0,medium
510,85,3073,2017-04-23,1,medium
511,24,683,2017-07-04,1,large
